項次,案號,會勘事由,會勘時間,主持人,聯絡人,與會單位,會勘地點,三米直規平整度,會勘結論,會勘說明
1,2003,完工會勘,民國109年01月09日14時10分,董月婷,董月婷,中華電信，金城鎮公所，觀光處,西海路一段9號，前水頭97號，民權路196-1號                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
2,2004,「金城鎮祥瑞段60號預埋地下管線工程」等4案道路挖掘復原會勘,民國107年11月06日11時00分,土木科,董月婷(單一登入),台電,祥瑞段60地號                                                                                                                                                                                                 ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                            
3,2012,完工會勘,民國109年01月09日14時10分,董月婷,董月婷,中華電信，金城鎮公所，觀光處,民生路82-1號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
4,2027,「金湖鎮太湖劃測段596地號預埋地下管線工程」等9案道路挖掘復原會勘,民國107年11月13日15時30分,土木科,董月婷(單一登入),台電,太湖劃測段596地號                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                              
5,2028,「金湖鎮太湖劃測段596地號預埋地下管線工程」等9案道路挖掘復原會勘,民國107年11月13日15時30分,土木科,董月婷(單一登入),台電,太湖劃測段596地號                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                            
6,2031,「金城鎮祥瑞段60號預埋地下管線工程」等4案道路挖掘復原會勘,民國107年11月06日11時00分,土木科,董月婷(單一登入),台電,祥瑞段60地號                                                                                                                                                                                                 ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自堂次日起負責保固一年。                                                                                                                                             
7,2036,「金寧鄉安岐290、291號預埋地下管線工程」第14案道路挖掘復原會勘,民國107年11月08日02時00分,土木科,董月婷(單一登入),台電,安岐290號                                                                                                                                                                                                  ,0,合格，核可文號,已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自結案次日日負責保固一年。                                                                                                                                                  
8,2037,「金湖鎮太湖劃測段596地號預埋地下管線工程」等9案道路挖掘復原會勘,民國107年12月10日15時30分,土木科,董月婷,台電,市港三路                                                                                                                                                                                                    ,0,合格，核可文號,補登錄完工公文紀錄，請忽略系統自動通知，謝謝。                                                                                                                                                                                 
9,2049,完工復原查驗,民國107年09月21日15時00分,董月婷,董月婷,無,金寧鄉長寮段64-1地號旁                                                                                                                                                                                           ,-25,不合格：改善期限：107/10/25,1.開挖方向橫越道路者，應由挖掘寬度往兩側至少加寬一公尺，平整切割刨除原有AC後，以熱拌瀝青混凝土原厚度修復。  2.經現地測量AC平整度為：4㎜、13㎜、8㎜、11㎜、15㎜、-25㎜，不符規定。（合格數值為正負6㎜以內）  3.未復原標線。                                                                              
10,2068,完工會勘,民國108年10月07日14時30分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,環島西路二段(近救國團)                                                                                                                                                                                            ,0,合格，核可文號,未施工，同意結案                                                                                                                                                                                                
11,2080,完工會勘,民國108年05月10日14時30分,董月婷,董月婷,台電公司、金沙鎮公所、觀光處,保生段37-1地號                                                                                                                                                                                               ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
12,2082,「金湖鎮羅劃測段187地號預埋地下管線工程」等10案道路挖掘復原會勘,民國108年06月26日10時00分,土木科,董月婷(單一登入),台電金門區處，金湖鎮公所，觀光處,羅劃測段187地號                                                                                                                                                                                               ,0,合格，核可文號,已依規定完成道路復原，後段AC路面遭本府工務處水利科金湖第四污水下水道工程案挖掘，後續將由水利科復原AC路面。                                                                                                                                                 
13,2099,「金城鎮祥瑞段60號預埋地下管線工程」等4案道路挖掘復原會勘,民國107年11月06日11時00分,土木科,董月婷(單一登入),台電,祥瑞段60地號                                                                                                                                                                                                 ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                            
14,2132,完工會勘,民國108年06月26日14時30分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,環島東路往溪邊                                                                                                                                                                                                 ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
15,2134,完工,民國109年10月06日14時30分,董月婷,董月婷,中華電信，金湖鎮公所，觀光處,塔后536號                                                                                                                                                                                                  ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                           
16,2145,完工會勘,民國108年07月31日15時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,湖前路933地號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
17,2155,完工會勘,民國108年09月12日15時10分,董月婷,董月婷,台電公司、金寧鄉公所、觀光處,寧湖一劃段388地號                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
18,2186,完工會勘,民國108年07月31日15時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,太湖路映碧塘前                                                                                                                                                                                                 ,0,合格，核可文號,本案未施作，同意結案                                                                                                                                                                                              
19,2281,道路挖掘復原會勘,民國108年02月25日15時10分,董月婷,營建署,無資料,金港路                                                                                                                                                                                                     ,5,合格，核可文號,無資料
20,2366,完工會勘,民國109年05月06日14時30分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,市港路243.245號                                                                                                                                                                                             ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
21,2400,完工會勘,無資料,董月婷,董月婷,無資料,無資料,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
22,2432,完工會勘,民國108年07月31日15時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,林森路12號(湖小)                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
23,2497,「金門縣港務處水頭港區用戶光纖電纜增設工程」等16案道路挖掘復原會勘,民國109年01月09日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,桃園路                                                                                                                                                                                                     ,0,合格，核可文號,無資料
24,2498,完工,民國109年01月09日14時30分,董月婷,董月婷,中華電信，金城鎮公所，觀光處,水頭珠水路                                                                                                                                                                                                   ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後自結案次日起負責保固一年。                                                                                                                                           
25,2499,「金門縣港務處水頭港區用戶光纖電纜增設工程」等16案道路挖掘復原會勘,民國109年01月09日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,榜林村                                                                                                                                                                                                     ,0,合格，核可文號,無資料
26,2500,「金門縣港務處水頭港區用戶光纖電纜增設工程」等16案道路挖掘復原會勘,民國109年01月09日10時00分,土木科,董月婷(單一登入),中華電信股份有限公司，金城鎮公所，金寧鄉公所，觀光處,環島西路一段                                                                                                                                                                                                  ,0,合格，核可文號,無資料
27,2506,完工會勘,民國108年07月31日15時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,湖前段249地號                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
28,2513,完工會勘,民國108年07月31日15時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,塔后舊國泰飯店前                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
29,2520,完工會勘,民國108年07月31日15時00分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,新頭300-327號                                                                                                                                                                                              ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
30,2523,完工會勘,民國108年10月07日14時30分,董月婷,董月婷,台電公司、金城鎮公所、觀光處,環北一段林湖路口                                                                                                                                                                                                ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
31,2524,完工會勘,民國109年05月06日14時30分,董月婷,董月婷,台電公司、金湖鎮公所、觀光處,塔后122-8.122-9號                                                                                                                                                                                          ,0,合格，核可文號,本案道路挖掘已依規定完成道路復原，依金門縣道路挖掘管理自治條條例第六條第一項規定，挖掘道路完成後  自結案次日起負責保固一年。                                                                                                                                         
