,CaseID,SDChg,SDStatus,文號,會勘日期
1,4098,是,圖資退件,1100112416,2021/12/16
2,4069,是,圖資已核備,1100112416,2021/12/16
3,4064,否,,1100112416,2021/12/16
4,4067,否,,1100112416,2021/12/16
5,3932,否,,1100088803,2021/10/13
6,4045,是,圖資已核備,1100079790,2021/9/15
7,4003,是,圖資退件,1100078150,2021/9/3
8,3907,是,圖資退件,1100079790,2021/9/15
9,3815,是,圖資退件,1100079790,2021/9/15
10,4044,是,圖資已核備,1100079790,2021/9/15
11,4183,否,,1110033227,2022/4/1
12,4289,否,,1110033227,2022/4/1
13,4087,是,圖資退件,1110033227,2022/4/1
14,4048,是,圖資退件,1100088803,2021/10/13
15,4030,是,圖資已核備,1110033227,2022/4/1
16,3995,是,圖資退件,1100079790,2021/9/15
17,4184,否,,1110033227,2022/4/1
18,4192,否,,1110075811,2022/8/24
19,4241,否,,1110033227,2022/4/1
20,4031,是,圖資退件,1100088803,2021/10/13
21,4086,是,圖資已核備,1110033227,2022/4/1
22,4228,否,,1110033227,2022/4/1
23,4294,否,,1110033227,2022/4/1
24,4108,否,,1110033227,2022/4/1
25,4016,是,圖資已核備,1100079790,2021/9/15
26,4052,是,圖資退件,1110033227,2022/4/1
27,3987,是,圖資已核備,1100088803,2021/10/13
28,4015,是,圖資已核備,1100088803,2021/10/13
29,4340,否,,1110033227,2022/4/1
30,4107,否,,1110075811,2022/8/24
31,4199,否,,1110033227,2022/4/1
32,4275,否,,1110033227,2022/4/1
33,4212,否,,1110075811,2022/8/24
34,4364,否,,1110033227,2022/4/1
35,4105,否,,1110033227,2022/4/1
36,4200,否,,1110033227,2022/4/1
37,3887,是,圖資退件,1100088803,2021/10/13
38,4342,否,,1110033227,2022/4/1
39,4363,否,,1110033227,2022/4/1
40,3965,是,圖資已核備,1110011962,2022/1/13
41,3996,是,圖資已核備,1100088803,2021/10/13
42,3998,是,圖資已核備,1100079790,2021/9/15
43,4017,是,圖資已核備,1100078150,2021/9/3
44,4053,是,圖資已核備,1100078150,2021/9/3
45,4213,否,,1110075811,2022/8/24
46,4293,否,,1110033227,2022/4/1
47,4341,否,,1110033227,2022/4/1
48,4112,是,圖資已核備,1100079790,2021/9/15
49,3806,否,,1100084742,2021/10/4
50,3690,否,,1110041471,2022/5/9
51,3654,否,,1110041471,2022/5/9
52,3808,否,,1100084742,2021/10/4
53,4455,否,,,
54,4050,是,圖資已核備,1100092453,2021/10/27
55,4179,否,,,
56,4146,否,,1100094619,2021/11/12
57,4432,否,,1110063372,2022/7/19
58,4432,否,,1110063372,2022/7/19
59,4189,是,圖資已核備,1100105907,2021/12/10
60,3857,是,圖資退件,1100084742,2021/10/4
61,3898,否,,1100084742,2021/10/4
62,3956,是,圖資已核備,1100094619,2021/11/12
63,3964,否,,,
64,4440,否,,1110055346,2022/6/23
65,4120,否,,1100092476,2021/10/27
